post_id,timestamp,pillar,account,format,hook_used,status,views,saves,comments,shares,paid_spend,paid_candidate,notes
LG-EDU-001-TALK,2026-08-18 17:10,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,1200,45,18,32,R0,YES,Auto-generated from LG-EDU-001
LG-EDU-001-CARO,2026-08-18 17:10,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-001
LG-EDU-001-BEFO,2026-08-18 17:10,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-001
LG-EDU-001-CAPT,2026-08-18 17:10,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-001
LG-EDU-002-TALK,2026-08-18 17:10,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-002
LG-EDU-002-CARO,2026-08-18 17:10,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-002
LG-EDU-002-BEFO,2026-08-18 17:10,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-002
LG-EDU-002-CAPT,2026-08-18 17:10,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-002
LG-EDU-003-TALK,2026-08-18 17:27,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-003
LG-EDU-003-CARO,2026-08-18 17:27,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-003
LG-EDU-003-BEFO,2026-08-18 17:27,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-003
LG-EDU-003-CAPT,2026-08-18 17:27,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-003
LG-EDU-004-TALK,2026-08-19 01:42,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-004
LG-EDU-004-CARO,2026-08-19 01:42,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-004
LG-EDU-004-BEFO,2026-08-19 01:42,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-004
LG-EDU-004-CAPT,2026-08-19 01:42,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-004
LG-EDU-005-TALK,2026-08-19 01:47,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-005
LG-EDU-005-CARO,2026-08-19 01:47,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-005
LG-EDU-005-BEFO,2026-08-19 01:47,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-005
LG-EDU-005-CAPT,2026-08-19 01:47,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-005
LG-EDU-006-TALK,2026-08-19 01:54,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-006
LG-EDU-006-CARO,2026-08-19 01:54,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-006
LG-EDU-006-BEFO,2026-08-19 01:54,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-006
LG-EDU-006-CAPT,2026-08-19 01:54,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-006
LG-EDU-007-TALK,2026-08-19 01:54,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-007
LG-EDU-007-CARO,2026-08-19 01:54,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-007
